
HoneyPeachTea#2202,Platinum 1,40%,138.2,51.7,02/14/21,https://tracker.gg/valorant/profile/riot/HoneyPeachTea%232202?playlist=competitive,1.06,218.6,0.8
DD Sher1ff#0000,Diamond 3,27%,127.4,49.3,01/18/21,https://tracker.gg/valorant/profile/riot/DD%20Sher1ff%230000?playlist=competitive,0.98,200.9,0.7
Jei#0011,NONE,NONE,NONE,NONE,02/14/21,https://tracker.gg/valorant/profile/riot/Jei%230011?playlist=competitive,NONE,NONE,NONE
Ouu Hit a dougie#9931,Silver 2,36%,162.8,50.7,03/16/21,https://tracker.gg/valorant/profile/riot/Ouu%20Hit%20a%20dougie%239931?playlist=competitive,1.31,253.5,0.9
ChinaLiedPplDied#1440,NONE,NONE,NONE,NONE,01/26/21,https://tracker.gg/valorant/profile/riot/ChinaLiedPplDied%231440?playlist=competitive,NONE,NONE,NONE
pbear#NA1,Gold 3,25%,123.8,50.0,01/18/21,https://tracker.gg/valorant/profile/riot/pbear%23NA1?playlist=competitive,0.93,186.6,0.6
JTPak77#NA1,Immortal,23%,143.6,54.3,01/26/21,https://tracker.gg/valorant/profile/riot/JTPak77%23NA1?playlist=competitive,1.07,222.2,0.8
RRTWIX#3073,NONE,NONE,NONE,NONE,01/18/21,https://tracker.gg/valorant/profile/riot/RRTWIX%233073?playlist=competitive,NONE,NONE,NONE
SirLadd#NA1,Bronze 2,18%,140.2,50.7,01/17/21,https://tracker.gg/valorant/profile/riot/SirLadd%23NA1?playlist=competitive,1.13,225.7,0.8
mibpolice#5993,Immortal,27%,142.0,50.1,01/18/21,https://tracker.gg/valorant/profile/riot/mibpolice%235993?playlist=competitive,1.04,223.0,0.8
TBird#8636,NONE,NONE,NONE,NONE,01/22/21,https://tracker.gg/valorant/profile/riot/TBird%238636?playlist=competitive,NONE,NONE,NONE
gabe#sad,Platinum 3,30%,133.7,48.1,01/20/21,https://tracker.gg/valorant/profile/riot/gabe%23sad?playlist=competitive,0.94,205.6,0.7
Basem3ntTroll#7146,Platinum 1,18%,139.7,48.2,02/06/21,https://tracker.gg/valorant/profile/riot/Basem3ntTroll%237146?playlist=competitive,1.05,217.9,0.8
Casey#3232,NONE,NONE,NONE,NONE,02/06/21,https://tracker.gg/valorant/profile/riot/Casey%233232?playlist=competitive,NONE,NONE,NONE
Goose#2578,Diamond 3,36%,134.1,49.3,03/16/21,https://tracker.gg/valorant/profile/riot/Goose%232578?playlist=competitive,1.06,208.0,0.7
OGCBG#NA1,Immortal,31%,173.4,51.5,01/22/21,https://tracker.gg/valorant/profile/riot/OGCBG%23NA1?playlist=competitive,1.15,278.4,0.9
oldirtybasturd#3956,Gold 2,32%,149.8,47.6,01/26/21,https://tracker.gg/valorant/profile/riot/oldirtybasturd%233956?playlist=competitive,1.05,238.0,0.8
s3v3ri7y#7526,NONE,NONE,NONE,NONE,01/17/21,https://tracker.gg/valorant/profile/riot/s3v3ri7y%237526?playlist=competitive,NONE,NONE,NONE
Indexdothtml#NA1,Gold 2,17%,125.3,49.3,01/26/21,https://tracker.gg/valorant/profile/riot/Indexdothtml%23NA1?playlist=competitive,0.97,185.1,0.6
EEFFIN#TTV,Platinum 2,32%,137.3,50.3,01/26/21,https://tracker.gg/valorant/profile/riot/EEFFIN%23TTV?playlist=competitive,1.03,213.0,0.7
officemouse#2121,NONE,NONE,NONE,NONE,03/16/21,https://tracker.gg/valorant/profile/riot/officemouse%232121?playlist=competitive,NONE,NONE,NONE
BigMacZac#Monke,Unrated,20%,143.5,48.9,01/20/21,https://tracker.gg/valorant/profile/riot/BigMacZac%23Monke?playlist=competitive,1.04,229.2,0.8
chloric#Caide,Immortal,23%,137.3,51.2,02/14/21,https://tracker.gg/valorant/profile/riot/chloric%23Caide?playlist=competitive,1.13,212.2,0.7
sath#0000,Unrated,28%,148.2,49.4,01/20/21,https://tracker.gg/valorant/profile/riot/sath%230000?playlist=competitive,1.03,237.3,0.8
